 Tpeak    e      tau      e      VLSR   e    DelV    e     Tspin     e     Tkmax      NHI  CNM   Frac   e    Name     
   K      K                      km/s km/s   km/s   km/s     K       K       K   10+20cm-2                            
====================================================================================================================
 30.18  -12.0    1.532   0.021    8.0  0.0    2.51  0.02    38.50  13.68     138      2.89   0  -18.0 -18.0  3C133    
  3.78  -12.0    0.038   0.002  -21.5  0.1    3.45  0.21   101.52   5.08     260      0.26   5  -18.0 -18.0  3C138    
  5.20   0.14    0.004   -10.0   -8.6  0.5   47.38  1.27  1260.00  -12.0   49076      4.79   9   0.50  0.29  3C138    
 11.82  -12.0    0.247   0.006   -0.5  0.1    2.86  0.12    54.03   9.60     178      0.74   1  -18.0 -18.0  3C138    
  8.48  -12.0    0.176   0.014    1.6  0.1    1.84  0.09    52.62  11.03      73      0.33   3  -18.0 -18.0  3C138    
 21.94  -12.0    0.060   0.004    1.8  0.2   14.64  0.48   379.12  23.44    4683      6.44   2  -18.0 -18.0  3C138    
 25.99  -12.0    1.046   0.008    6.4  0.0    2.30  0.02    40.07  12.30     115      1.87   0  -18.0 -18.0  3C138    
 20.17   0.75    0.014   -10.0    6.8  0.4   11.11  0.84  1470.00  -12.0    2700      4.36   9   0.54  0.29  3C138    
 15.70  -12.0    0.406   0.005    9.1  0.0    2.81  0.06    47.02  11.54     172      1.05   4  -18.0 -18.0  3C138    
 58.36  -12.0    0.260   0.010  -15.9  0.3   15.41  0.74   255.00   2.08    5191     19.89   1  -18.0 -18.0  3C141.0  
  3.27   0.41    0.015   -10.0  -11.4  1.8   68.55  6.32   220.00  -12.0  102731      4.37   9   0.75  0.18  3C141.0  
113.44   1.74    0.101   -10.0    0.6  0.0   11.17  0.09  1120.00  -12.0    2726     24.68   9   0.00  0.00  3C141.0  
 20.73  -12.0    0.875   0.024    1.6  0.1    6.19  0.14    35.55   1.76     836      3.75   0  -18.0 -18.0  3C141.0  
  9.10   0.93    0.005   -10.0  -10.6  0.3    8.78  0.66  2000.00  -12.0    1684      1.56   9   0.50  0.29  3C142.1  
  0.90  -12.0    0.101   0.007   -9.2  0.1    3.24  0.26     9.37  13.82     229      0.06   3  -18.0 -18.0  3C142.1  
 44.11  -12.0    2.362   0.045    7.0  0.0    3.13  0.03    48.69  15.55     214      7.02   0  -18.0 -18.0  3C142.1  
 39.15   1.16    0.028   -10.0    8.7  0.1   16.13  0.41  1400.00  -12.0    5686     12.30   9   0.44  0.29  3C142.1  
  4.22  -12.0    0.203   0.007   13.4  0.1    4.12  0.17    23.03  10.75     370      0.37   1  -18.0 -18.0  3C142.1  
  9.51  -12.0    0.083   0.007   22.4  0.1    3.39  0.32   119.08  10.47     251      0.65   2  -18.0 -18.0  3C142.1  
 11.61  -12.0    0.068   0.003  -23.7  0.1    4.35  0.22   176.60   5.51     412      1.02   5  -18.0 -18.0  3C154    
 24.81  -12.0    0.709   0.014   -2.9  0.0    4.45  0.06    48.85  14.40     433      3.01   3  -18.0 -18.0  3C154    
  6.05  -12.0    0.292   0.019   -2.1  0.0    1.32  0.10    23.87  18.23      37      0.18   2  -18.0 -18.0  3C154    
 75.24   0.85    0.041   -10.0    1.4  0.0   18.23  0.11  1830.00  -12.0    7267     26.72   9   0.76  0.18  3C154    
 30.83  -12.0    0.919   0.014    1.8  0.0    2.63  0.07    51.28  18.44     151      2.42   1  -18.0 -18.0  3C154    
 19.70  -12.0    0.479   0.007    5.0  0.1    3.47  0.10    51.78  15.58     263      1.68   0  -18.0 -18.0  3C154    
 10.83  -12.0    0.413   0.006   10.6  0.0    2.12  0.03    31.98   9.17      98      0.55   4  -18.0 -18.0  3C154    
 23.71   0.80    0.049   -10.0    7.1  0.3   13.83  0.41   480.00  -12.0    4181      6.39   9   0.50  0.29  3C167    
 38.17  -12.0    0.252   0.008   22.6  0.4   21.71  0.98   171.23   6.90   10302     18.27   2  -18.0 -18.0  3C167    
 32.37   1.26    0.202   -10.0   38.3  0.6   20.60  0.78   160.00  -12.0    9280     13.00   9   0.55  0.28  3C167    
 50.50  -12.0    0.941   0.024   42.2  0.1    8.01  0.23    82.85  12.73    1403     12.16   0  -18.0 -18.0  3C167    
  8.60  -12.0    0.386   0.032   49.3  0.1    2.09  0.19    26.87   5.61      95      0.42   1  -18.0 -18.0  3C167    
  1.90   0.07    0.002   -10.0   -8.8  0.7   65.50  1.54   980.00  -12.0   93799      2.43   9   0.50  0.29  3C172.0  
  3.35  -12.0    0.059   0.005    1.5  0.2    4.33  0.46    58.86   6.42     409      0.29   0  -18.0 -18.0  3C172.0  
 13.58   0.13    0.014   -10.0    2.5  0.1   18.46  0.15  1000.00  -12.0    7453      4.88   9   0.50  0.29  3C172.0  
  0.99  -12.0    0.031   0.004    9.4  0.4    5.62  1.03    32.54   6.75     691      0.11   1  -18.0 -18.0  3C172.0  
  6.61   0.04    0.006   -10.0    2.8  0.1   17.67  0.20  1150.00  -12.0    6826      2.28   9   0.50  0.00  3C190.0  
  1.68   0.04    0.002   -10.0   23.5  0.4   16.51  0.80   840.00  -12.0    5962      0.54   9   0.50  0.00  3C190.0  
  2.54   0.03    0.003   -10.0   -3.0  0.2   34.85  0.29   840.00  -12.0   26546      1.72   9   0.50  0.29  3C192    
  7.54   0.06    0.007   -10.0    7.5  0.0   12.13  0.11  1150.00  -12.0    3218      1.78   9   0.51  0.29  3C192    
  5.39  -12.0    0.068   0.002    8.0  0.1    4.30  0.12    82.14   3.76     403      0.47   0  -18.0 -18.0  3C192    
  1.66   0.07    0.005   -10.0   -0.1  0.3   36.92  0.80   330.00  -12.0   29801      1.19   9   0.50  0.29  3C207    
  2.51   0.18    0.063   -10.0    1.4  0.1    1.95  0.13    40.00  -12.0      82      0.10   9   0.50  0.29  3C207    
 11.29   0.24    0.024   -10.0    3.1  0.1   10.16  0.19   470.00  -12.0    2258      2.24   9   0.49  0.29  3C207    
  5.46  -12.0    0.250   0.002    4.2  0.0    5.25  0.05    24.65   4.74     602      0.63   1  -18.0 -18.0  3C207    
  7.71   0.10    0.034   -10.0   13.8  0.1    5.40  0.10   230.00  -12.0     638      0.81   9   0.51  0.29  3C207    
  5.03  -12.0    0.298   0.004   15.4  0.0    2.43  0.03    19.53   2.66     129      0.28   0  -18.0 -18.0  3C207    
  0.76   0.02    0.010   -10.0  -25.9  0.1   11.30  0.33    80.00  -12.0    2794      0.17   9   0.50  0.00  3C208.0  
  3.39   0.08    0.031   -10.0   -4.0  0.1    4.34  0.12   110.00  -12.0     412      0.29   9   0.50  0.00  3C208.0  
  2.37   0.09    0.024   -10.0    0.3  0.1    3.72  0.14   100.00  -12.0     303      0.17   9   0.50  0.00  3C208.0  
  5.13   0.10    0.010   -10.0    0.4  0.0   19.32  0.18   510.00  -12.0    8161      1.93   9   0.50  0.00  3C208.0  
  6.09   0.07    0.068   -10.0    5.9  0.0    3.63  0.04    90.00  -12.0     287      0.43   9   0.50  0.00  3C208.0  
  0.63   0.01    0.003   -10.0  -25.4  0.3   17.18  0.68   210.00  -12.0    6455      0.21   9   0.50  0.00  3C208.1  
  2.72   0.08    0.012   -10.0   -3.4  0.0    3.45  0.09   220.00  -12.0     259      0.18   9   0.50  0.00  3C208.1  
